,viet tat_x,mean,viet tat_y,_merge
0,ABC,Công ty Truyền thông ABC,,left_only
1,ADB,Ngân hàng Phát triển châu Á,,left_only
2,ADN,AND,,left_only
3,ANĐT,an ninh điều tra,,left_only
4,ATGT,An toàn Giao thông,,left_only
5,ATM,Máy rút tiền tự động,,left_only
6,ATNĐ,áp thấp nhiệt đới,,left_only
7,ATTT,An toàn Trật tự,,left_only
8,ATTTGT,An toàn Trật tự Giao thông,,left_only
9,ATVSTP,an toàn vệ sinh thực phẩm,,left_only
10,BBCVT,Bộ Bưu chính Viễn thông,,left_only
11,BBT,Ban biên tập,,left_only
13,BCĐ,Ban chỉ đạo,,left_only
14,BCĐĐMĐH,Ban chỉ đạo đổi mới đại học,,left_only
15,BCĐPCTNTƯ,Ban chỉ đạo phòng chống tham nhũng trung ương,,left_only
16,BCĐQG,Ban chỉ đạo Quốc gia,,left_only
17,BCĐT,Bưu chính điện tử,,left_only
18,BCĐTS,Ban chỉ đạo tuyển sinh,,left_only
19,BCHCD,Ban chỉ huy chiến dịch,,left_only
20,BCHQS,Bộ chỉ huy quân sự,,left_only
21,BCHTƯ,Ban chỉ huy trung ương,,left_only
22,BCHTW,Ban chỉ huy trung ương,,left_only
23,BCVT,Bưu chính Viễn thông,,left_only
24,BD,Bình Dương,,left_only
25,BĐ,Bóng đá,,left_only
26,BĐN,Bồ Đào Nha,,left_only
27,BĐS,bất động sản,,left_only
28,BĐVN,Bóng đá Việt Nam,,left_only
29,BGD,Bộ Giáo dục,,left_only
30,BGDĐT,Bộ Giáo dục và Đào tạo,,left_only
31,BGH,Ban giám hiệu,,left_only
32,BGK,Ban giám khảo,,left_only
33,BH,Bảo hiểm,,left_only
34,BHĐC,bán hàng đa cấp,,left_only
35,BHL,Ban huấn luyện,,left_only
36,BHV,Ban huấn luyện,,left_only
37,BHXH,Bảo hiểm xã hội,,left_only
38,BHYT,Bảo hiểm y tế,,left_only
39,BIDV,Ngân hàng Đầu tư và Phát triển Việt Nam,,left_only
40,BK,Bách khoa,,left_only
42,BLHS,Bộ luật Hình sự,,left_only
43,BP,Biên phòng,,left_only
44,BQL,Ban quản lý,,left_only
45,BQLDA,Ban Quản lý dự án,,left_only
46,BSC,Công ty Chứng khoán Ngân hàng Đầu tư & Phát triển Việt Nam,,left_only
48,BTA,Hiệp định Thương mại Việt - Mỹ,,left_only
49,BTBNN,bảo trợ bệnh nhân nghèo,,left_only
50,BTC,Ban tổ chức,,left_only
51,BTS,Ban tuyển sinh,,left_only
52,BTV,Biên tập viên,,left_only
53,BTVH,Bổ túc Văn hóa,,left_only
54,BV,Bện viện,,left_only
55,BVĐK,Bệnh viện Đa khoa,,left_only
56,BVTV,Bảo vệ thực vật,,left_only
57,BX,Bến xe,,left_only
58,BXL,Bộ xử lý,,left_only
59,CAHN,Công an Hà Nội,,left_only
60,CAND,Công an Nhân dân,,left_only
61,CATP,Công an Thành phố,,left_only
63,CBCC,cán bộ công chức,,left_only
64,CBCNV,Cán bộ công nhân viên,,left_only
65,CBQLGD,cán bộ quản lý giáo dục,,left_only
66,CCB,Cựu chiến binh,,left_only
67,CCHC,cải cách hành chính,,left_only
68,CĐ,Cao đẳng,,left_only
69,CĐDC,chất độc da cam,,left_only
70,CĐSP,Cao đẳng Sư phạm,,left_only
71,CĐV,Cổ động viên,,left_only
72,CG,Nhóm các nhà tài trợ cho Việt Nam,,left_only
73,CHDC,Cộng hòa Dân chủ,,left_only
74,CHDCND,Cộng hòa Dân chủ Nhân dân,,left_only
75,CHLB,Cộng hòa Liên bang,,left_only
76,CHND,Cộng hòa Nhân dân,,left_only
77,CK,Chứng khoán,,left_only
78,CLB,Câu lạc bộ,,left_only
79,CMND,Chứng minh nhân dân,,left_only
80,CNCN,Chi nhánh Cấp nước,,left_only
81,CNH,Công nghiệp hóa,,left_only
82,CNKT,công nhân kỹ thuật,,left_only
83,CNQSDĐ,chứng nhận quyền sử dụng đất,,left_only
84,CNSH,Công nghệ sinh học,,left_only
85,CNTN,cử nhân tài năng,,left_only
86,CNTT,Công nghệ thông tin,,left_only
87,CNV,Công nhân viên,,left_only
88,CNVC,Công nhân viên chức,,left_only
89,COPD,bệnh phổi tắc nghẽn mãn tính,,left_only
91,CPE,Hợp đồng lao động đầu tiên,,left_only
92,CPH,Cổ phần hóa,,left_only
93,CPP,Đảng Nhân dân Campuchia,,left_only
94,CPSXTM,cổ phần Xây dựng sản xuất thương mại,,left_only
95,CPTD,cổ phiếu tự do,,left_only
96,CPTTT,chậm phát triển trí tuệ,,left_only
97,CPXD,cấp phép xây dựng,,left_only
98,CQĐT,Cơ quan điều tra,,left_only
99,CSCĐ,cảnh sát cơ động,,left_only
100,CSDC,cảnh sát dã chiến,,left_only
101,CSDL,Cơ sở Dữ liệu,,left_only
102,CSĐN,cảnh sát đặc nhiệm,,left_only
104,CSĐTLX,cơ sở đào tạo lái xe,,left_only
105,CSĐTTP,Cảnh sát Điều tra tội phạm,,left_only
106,CSĐTTPMT,Cảnh sát điều tra tội phạm ma túy,,left_only
107,CSG,Cảng Sài Gòn,,left_only
108,CSGT,Cảnh sát giao thông,,left_only
109,CSHS,Cảnh sát Hình sự,,left_only
110,CSKH,Chăm sóc khách hàng,,left_only
111,CSKT,Cảnh sát kinh tế,,left_only
112,CSKV,Cảnh sát khu vực,,left_only
113,CSPCTPMT,Cục cảnh sát phòng chống tội phạm ma túy,,left_only
114,CSPK,công suất phản kháng,,left_only
115,CSQLHC,Cảnh sát Quản lý hành chính,,left_only
116,CSSD,Đảng Xã hội Dân chủ cánh tả,,left_only
117,CSSX,cơ sở sản xuất,,left_only
118,CSVC,Cơ sở vật chất,,left_only
119,CSVL,Cao su Việt - Lào,,left_only
120,CSVN,Cộng sản Việt Nam,,left_only
121,CSXH,chính sách xã hội,,left_only
123,CTCC,Công trình Công cộng,,left_only
124,CTCH,chấn thương chỉnh hình,,left_only
125,CTCK,công ty chứng khoán,,left_only
126,CTCLQG,Chương trình chống lao quốc gia,,left_only
127,CTCN,Công ty Cấp nước,,left_only
128,CTCP,Công ty Cổ phần,,left_only
129,CTĐ,Chữ thập đỏ,,left_only
130,CTĐL,Công ty Điện lực,,left_only
